"subjectid","condition"
"X-A901",""
"X-A902",""
"X-A903",""
"X-A904",""
"X-A905",""
"X-A907",""
"X-A908",""
"X-A909",""
"Y-A902",""
"Y-A904",""
"Y-A905",""
"Y-A906",""
"Y-A907",""
"Y-A908",""
"Y-A909",""
"Y-A910",""
"Y-A911",""
"Y-A912",""
"Y-A913",""
"Y-A914",""
"Z-A902",""
"Z-A903",""
"Z-A905",""
"Z-A906",""
"Z-A907",""
"Z-A910",""
"Z-A911",""
"Z-B901",""
"Z-B902",""
"Z-B903",""
"Z-B904",""
"Z-B905",""
"Z-B906",""
"Z-B907",""
"Z-B908",""
