project	site	total_screenings	screening_1_complete	under_lmp_review	screening_ineligible	in_progress	withdrawn__preproduct	withdrawn__postproduct	randomized	complete	pi_prop	date
"Project 3"	"brown"	3	0	0	0	3	0	0	1	0	"pilot"	2020-10-29 08:59:09
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-10-29 08:59:09
"Project 3"	"uvm"	3	1	0	2	0	0	0	0	0	"proper"	2020-10-29 08:59:09
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-02 06:37:10
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-02 06:37:10
"Project 1"	"uvm"	5	2	1	2	0	0	0	0	0	"proper"	2020-11-02 06:37:10
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-02 06:37:10
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-02 06:37:10
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-02 06:37:10
"Project 3"	"brown"	3	0	0	0	3	0	0	1	0	"pilot"	2020-11-02 06:37:10
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-02 06:37:10
"Project 3"	"uvm"	3	1	0	2	0	0	0	0	0	"proper"	2020-11-02 06:37:10
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-02 09:54:18
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-02 09:54:18
"Project 1"	"uvm"	5	2	0	2	1	0	0	0	0	"proper"	2020-11-02 09:54:18
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-02 09:54:18
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-02 09:54:18
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-02 09:54:18
"Project 3"	"brown"	3	0	0	0	3	0	0	1	0	"pilot"	2020-11-02 09:54:18
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-02 09:54:18
"Project 3"	"uvm"	3	1	0	2	0	0	0	0	0	"proper"	2020-11-02 09:54:18
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 15:54:58
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 15:54:58
"Project 1"	"uvm"	5	1	2	1	1	0	0	0	0	"proper"	2020-11-04 15:54:58
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 15:54:58
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 15:54:58
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 15:54:58
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 15:54:58
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 15:54:58
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 15:54:58
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 16:02:16
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 16:02:16
"Project 1"	"uvm"	5	1	2	1	1	0	0	0	0	"proper"	2020-11-04 16:02:16
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 16:02:16
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 16:02:16
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 16:02:16
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 16:02:16
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 16:02:16
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 16:02:16
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 16:13:01
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 16:13:01
"Project 1"	"uvm"	5	1	2	1	1	0	0	0	0	"proper"	2020-11-04 16:13:01
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 16:13:01
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 16:13:01
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 16:13:01
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 16:13:01
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 16:13:01
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 16:13:01
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:46:43
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 19:46:43
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 19:46:43
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:46:43
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 19:46:43
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 19:46:43
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 19:46:43
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 19:46:43
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 19:46:43
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:47:44
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 19:47:44
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 19:47:44
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:47:44
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 19:47:44
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 19:47:44
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 19:47:44
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 19:47:44
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 19:47:44
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:49:32
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 19:49:32
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 19:49:32
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:49:32
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 19:49:32
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 19:49:32
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 19:49:32
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 19:49:32
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 19:49:32
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:55:12
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 19:55:12
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 19:55:12
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 19:55:12
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 19:55:12
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 19:55:12
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 19:55:12
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 19:55:12
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 19:55:12
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:31:28
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 20:31:28
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 20:31:28
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:31:28
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 20:31:28
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 20:31:28
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 20:31:28
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 20:31:28
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 20:31:28
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:32:27
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 20:32:27
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 20:32:27
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:32:27
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 20:32:27
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 20:32:27
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 20:32:27
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 20:32:27
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 20:32:27
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:34:16
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 20:34:16
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 20:34:16
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:34:16
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 20:34:16
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 20:34:16
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 20:34:16
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 20:34:16
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 20:34:16
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:38:12
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 20:38:12
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 20:38:12
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:38:12
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 20:38:12
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 20:38:12
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 20:38:12
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 20:38:12
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 20:38:12
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:52:57
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-04 20:52:57
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-04 20:52:57
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-04 20:52:57
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-04 20:52:57
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-04 20:52:57
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-04 20:52:57
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-04 20:52:57
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-04 20:52:57
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-13 07:31:15
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-13 07:31:15
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-13 07:31:15
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-13 07:31:15
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-13 07:31:15
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-13 07:31:15
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-13 07:31:15
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-13 07:31:15
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-13 07:31:15
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-16 09:28:24
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-16 09:28:24
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-16 09:28:24
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-16 09:28:24
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-16 09:28:24
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-16 09:28:24
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-16 09:28:24
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-16 09:28:24
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-16 09:28:24
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-16 10:32:04
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-16 10:32:04
"Project 1"	"uvm"	6	2	2	1	1	0	0	0	0	"proper"	2020-11-16 10:32:04
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-16 10:32:04
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-16 10:32:04
"Project 2"	"uvm"	2	1	0	0	1	0	0	0	0	"proper"	2020-11-16 10:32:04
"Project 3"	"brown"	3	0	0	0	3	0	0	2	0	"pilot"	2020-11-16 10:32:04
"Project 3"	"uvm"	6	1	0	4	1	0	0	1	0	"pilot"	2020-11-16 10:32:04
"Project 3"	"uvm"	4	2	0	2	0	0	0	0	0	"proper"	2020-11-16 10:32:04
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-16 11:00:04
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-16 11:00:04
"Project 1"	"uvm"	11	6	0	1	4	0	0	0	0	"proper"	2020-11-16 11:00:04
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-16 11:00:04
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-16 11:00:04
"Project 2"	"uvm"	6	1	2	2	1	0	0	1	0	"proper"	2020-11-16 11:00:04
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-16 11:00:04
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-16 11:00:04
"Project 3"	"uvm"	9	5	0	4	0	0	0	0	0	"proper"	2020-11-16 11:00:04
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 13:03:18
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-17 13:03:18
"Project 1"	"uvm"	11	5	1	1	4	0	0	0	0	"proper"	2020-11-17 13:03:18
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 13:03:18
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 13:03:18
"Project 2"	"uvm"	7	0	2	3	2	0	0	1	0	"proper"	2020-11-17 13:03:18
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 13:03:18
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-17 13:03:18
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-17 13:03:18
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 13:04:28
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-17 13:04:28
"Project 1"	"uvm"	11	5	1	1	4	0	0	0	0	"proper"	2020-11-17 13:04:28
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 13:04:28
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 13:04:28
"Project 2"	"uvm"	7	0	2	3	2	0	0	1	0	"proper"	2020-11-17 13:04:28
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 13:04:28
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-17 13:04:28
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-17 13:04:28
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 13:05:10
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-17 13:05:10
"Project 1"	"uvm"	11	5	1	1	4	0	0	0	0	"proper"	2020-11-17 13:05:10
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 13:05:10
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 13:05:10
"Project 2"	"uvm"	7	0	2	3	2	0	0	1	0	"proper"	2020-11-17 13:05:10
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 13:05:10
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-17 13:05:10
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-17 13:05:10
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 15:06:23
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-17 15:06:23
"Project 1"	"uvm"	13	7	1	1	4	0	0	0	0	"proper"	2020-11-17 15:06:23
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 15:06:23
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 15:06:23
"Project 2"	"uvm"	7	0	2	3	2	0	0	1	0	"proper"	2020-11-17 15:06:23
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 15:06:23
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-17 15:06:23
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-17 15:06:23
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 15:08:03
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-17 15:08:03
"Project 1"	"uvm"	13	7	1	1	4	0	0	0	0	"proper"	2020-11-17 15:08:03
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 15:08:03
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 15:08:03
"Project 2"	"uvm"	7	0	2	3	2	0	0	1	0	"proper"	2020-11-17 15:08:03
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 15:08:03
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-17 15:08:03
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-17 15:08:03
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 15:16:32
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-17 15:16:32
"Project 1"	"uvm"	13	7	1	1	4	0	0	0	0	"proper"	2020-11-17 15:16:32
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-17 15:16:32
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 15:16:32
"Project 2"	"uvm"	7	0	2	3	2	0	0	1	0	"proper"	2020-11-17 15:16:32
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-17 15:16:32
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-17 15:16:32
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-17 15:16:32
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-18 07:27:17
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-18 07:27:17
"Project 1"	"uvm"	13	7	1	1	4	0	0	0	0	"proper"	2020-11-18 07:27:17
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-18 07:27:17
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-18 07:27:17
"Project 2"	"uvm"	7	0	1	3	3	0	0	1	0	"proper"	2020-11-18 07:27:17
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-18 07:27:17
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-18 07:27:17
"Project 3"	"uvm"	10	5	1	4	0	0	0	0	0	"proper"	2020-11-18 07:27:17
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-23 06:45:14
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-23 06:45:14
"Project 1"	"uvm"	13	6	0	1	6	0	0	2	0	"proper"	2020-11-23 06:45:14
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-23 06:45:14
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-23 06:45:14
"Project 2"	"uvm"	8	1	0	3	4	0	0	1	0	"proper"	2020-11-23 06:45:14
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-23 06:45:14
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-23 06:45:14
"Project 3"	"uvm"	10	2	4	4	0	0	0	0	0	"proper"	2020-11-23 06:45:14
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-23 06:51:22
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2020-11-23 06:51:22
"Project 1"	"uvm"	13	6	0	1	6	0	0	2	0	"proper"	2020-11-23 06:51:22
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2020-11-23 06:51:22
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-23 06:51:22
"Project 2"	"uvm"	8	1	0	3	4	0	0	1	0	"proper"	2020-11-23 06:51:22
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2020-11-23 06:51:22
"Project 3"	"uvm"	6	0	0	4	1	1	0	1	0	"pilot"	2020-11-23 06:51:22
"Project 3"	"uvm"	10	2	4	4	0	0	0	0	0	"proper"	2020-11-23 06:51:22
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2021-01-22 10:03:48
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2021-01-22 10:03:48
"Project 1"	"uvm"	18	1	0	3	13	0	1	13	0	"proper"	2021-01-22 10:03:48
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2021-01-22 10:03:48
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2021-01-22 10:03:48
"Project 2"	"uvm"	11	2	0	3	6	0	0	5	0	"proper"	2021-01-22 10:03:48
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2021-01-22 10:03:48
"Project 3"	"brown"	8	1	0	4	3	0	0	3	0	"proper"	2021-01-22 10:03:48
"Project 3"	"uvm"	6	0	0	5	0	0	0	1	1	"pilot"	2021-01-22 10:03:48
"Project 3"	"uvm"	21	2	1	9	8	1	0	6	0	"proper"	2021-01-22 10:03:48
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2021-01-22 10:53:46
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2021-01-22 10:53:46
"Project 1"	"uvm"	18	1	0	3	13	0	1	13	0	"proper"	2021-01-22 10:53:46
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2021-01-22 10:53:46
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2021-01-22 10:53:46
"Project 2"	"uvm"	11	2	0	3	6	0	0	5	0	"proper"	2021-01-22 10:53:46
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2021-01-22 10:53:46
"Project 3"	"brown"	8	1	0	4	3	0	0	3	0	"proper"	2021-01-22 10:53:46
"Project 3"	"uvm"	6	0	0	5	0	0	0	1	1	"pilot"	2021-01-22 10:53:46
"Project 3"	"uvm"	21	2	1	9	8	1	0	6	0	"proper"	2021-01-22 10:53:46
"Project 1"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2021-01-22 12:04:26
"Project 1"	"uvm"	1	0	0	0	1	0	0	1	0	"pilot"	2021-01-22 12:04:26
"Project 1"	"uvm"	18	1	0	3	13	0	1	13	0	"proper"	2021-01-22 12:04:26
"Project 2"	"0"	0	0	0	0	0	0	0	0	0	"proper"	2021-01-22 12:04:26
"Project 2"	"uvm"	3	0	0	0	3	0	0	3	0	"pilot"	2021-01-22 12:04:26
"Project 2"	"uvm"	11	2	0	3	6	0	0	5	0	"proper"	2021-01-22 12:04:26
"Project 3"	"brown"	3	0	0	0	3	0	0	3	0	"pilot"	2021-01-22 12:04:26
"Project 3"	"brown"	8	1	0	4	3	0	0	3	0	"proper"	2021-01-22 12:04:26
"Project 3"	"uvm"	6	0	0	5	0	0	0	1	1	"pilot"	2021-01-22 12:04:26
"Project 3"	"uvm"	21	2	1	9	8	1	0	6	0	"proper"	2021-01-22 12:04:26
